,Rating,Industry,Sector,Ownership,Bil_Mil,Company,Company_Age,State,Git_job,Python_job,C_job,SQL_job,Job,Rank,Avg_Sal
53,3.1,Computer Hardware & Software,Information Technology,Private,1,The Great Plains Laboratory,0,KS,0,0,1,1,Software Developer,Intermediate,53.5
54,3.6,Automotive Parts & Accessories Stores,Retail,Private,2,RealTruck - ECommerce,22,FL,1,0,0,0,Software Engineer,Intermediate,59.5
55,3.7,IT Services,Information Technology,Private,1,NCI Information Systems Inc.,31,MD,0,0,0,0,Software Engineer,Intermediate,89.5
56,2.7,Trucking,Transportation & Logistics,Public,1,E. W. Wylie Corporation,82,ND,1,0,0,1,Systems Engineer,Intermediate,53.0
57,2.1,K-12 Education,Education,Private,0,Questar Assessment,44,MN,1,0,1,1,Software Engineer,Intermediate,69.5
58,2.9,Consulting,Business Services,Private,1,"Metrica, Inc.",36,VA,0,0,0,1,Systems Engineer,Intermediate,51.0
59,4.9,Consulting,Business Services,Private,1,Visvero,17,PA,0,0,0,0,Software Engineer,Intermediate,84.0
60,4.4,Banks & Credit Unions,Finance,Private,0,ClearOne Advantage,12,MD,0,0,1,1,Software Developer,Intermediate,56.0
61,3.2,Health Care Services & Hospitals,Health Care,Private,0,Zelis,4,MO,0,0,1,1,Software Engineer,Intermediate,71.5
62,3.4,Other Retail Stores,Retail,Private,0,"Blain Supply, Inc.",65,WI,1,0,1,1,Software Engineer,Senior,89.0
63,4.5,Metals Brokers,Mining & Metals,Subsidiary or Business Segment,0,The David J. Joseph Company,135,OH,0,0,1,1,Software Engineer,Intermediate,71.5
64,4.0,Banks & Credit Unions,Finance,Public,2,Capital One,26,VA,1,1,0,0,Software Engineer,Intermediate,105.0
65,3.6,Aerospace & Defense,Aerospace & Defense,Private,2,Peraton,3,MD,0,0,0,1,Software Engineer,Intermediate,95.0
66,3.4,Other Retail Stores,Retail,Private,0,"Blain Supply, Inc.",65,WI,1,0,1,1,Software Engineer,Senior,89.0
67,4.5,Metals Brokers,Mining & Metals,Subsidiary or Business Segment,0,The David J. Joseph Company,135,OH,0,0,1,1,Software Engineer,Intermediate,71.5
68,4.2,Colleges & Universities,Education,College / University,2,Johns Hopkins University,144,MD,0,0,1,1,Software Engineer,Intermediate,74.5
